date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:38:20	106594/106594	---M-Z	200	added ('OK')	text/html	date:Fri,%2005%20Jul%202024%2004:11:06%20GMT	https://admin.pixelstrap.net/admiro/template/index.html	C:/My%20Web%20Sites/adminEcommerc/admin.pixelstrap.net/admiro/template/index.html	(from )
16:38:20	796/796	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2028%20Sep%202024%2011:08:24%20GMT	https://admin.pixelstrap.net/robots.txt		(from )
16:38:21	470/470	---M--	200	added ('OK')	image/png	date:Wed,%2010%20Jan%202024%2000:15:04%20GMT	https://admin.pixelstrap.net/admiro/assets/images/favicon.png	C:/My%20Web%20Sites/adminEcommerc/admin.pixelstrap.net/admiro/assets/images/favicon.png	(from https://admin.pixelstrap.net/admiro/template/index.html)
16:38:21	38229/38229	---M-Z	200	added ('OK')	text/css	date:Mon,%2030%20Oct%202023%2004:17:04%20GMT	https://admin.pixelstrap.net/admiro/assets/css/vendors/flag-icon.css	C:/My%20Web%20Sites/adminEcommerc/admin.pixelstrap.net/admiro/assets/css/vendors/flag-icon.css	(from https://admin.pixelstrap.net/admiro/template/index.html)
16:38:21	7703/7703	---M-Z	200	added ('OK')	text/css	date:Mon,%2030%20Oct%202023%2004:17:04%20GMT	https://admin.pixelstrap.net/admiro/assets/css/iconly-icon.css	C:/My%20Web%20Sites/adminEcommerc/admin.pixelstrap.net/admiro/assets/css/iconly-icon.css	(from https://admin.pixelstrap.net/admiro/template/index.html)
16:38:22	19535/19535	---M-Z	200	added ('OK')	text/css	date:Mon,%2030%20Oct%202023%2004:17:04%20GMT	https://admin.pixelstrap.net/admiro/assets/css/bulk-style.css	C:/My%20Web%20Sites/adminEcommerc/admin.pixelstrap.net/admiro/assets/css/bulk-style.css	(from https://admin.pixelstrap.net/admiro/template/index.html)
16:38:23	22971/22971	---M-Z	200	added ('OK')	text/css	date:Mon,%2030%20Oct%202023%2004:17:04%20GMT	https://admin.pixelstrap.net/admiro/assets/css/themify.css	C:/My%20Web%20Sites/adminEcommerc/admin.pixelstrap.net/admiro/assets/css/themify.css	(from https://admin.pixelstrap.net/admiro/template/index.html)
16:38:23	134993/134993	---M-Z	200	added ('OK')	text/css	date:Mon,%2030%20Oct%202023%2004:17:04%20GMT	https://admin.pixelstrap.net/admiro/assets/css/fontawesome-min.css	C:/My%20Web%20Sites/adminEcommerc/admin.pixelstrap.net/admiro/assets/css/fontawesome-min.css	(from https://admin.pixelstrap.net/admiro/template/index.html)
16:38:23	15085/15085	---M-Z	200	added ('OK')	text/css	date:Wed,%2024%20Jan%202024%2005:53:37%20GMT	https://admin.pixelstrap.net/admiro/assets/css/vendors/weather-icons/weather-icons.min.css	C:/My%20Web%20Sites/adminEcommerc/admin.pixelstrap.net/admiro/assets/css/vendors/weather-icons/weather-icons.min.css	(from https://admin.pixelstrap.net/admiro/template/index.html)
16:38:23	4309/4309	---M-Z	200	added ('OK')	text/css	date:Thu,%2004%20Jan%202024%2003:41:20%20GMT	https://admin.pixelstrap.net/admiro/assets/css/vendors/scrollbar.css	C:/My%20Web%20Sites/adminEcommerc/admin.pixelstrap.net/admiro/assets/css/vendors/scrollbar.css	(from https://admin.pixelstrap.net/admiro/template/index.html)
16:38:24	4574/4574	---M-Z	200	added ('OK')	text/css	date:Tue,%2021%20Nov%202023%2005:27:14%20GMT	https://admin.pixelstrap.net/admiro/assets/css/vendors/slick.css	C:/My%20Web%20Sites/adminEcommerc/admin.pixelstrap.net/admiro/assets/css/vendors/slick.css	(from https://admin.pixelstrap.net/admiro/template/index.html)
16:38:24	3044/3044	---M-Z	200	added ('OK')	text/css	date:Tue,%2021%20Nov%202023%2005:27:15%20GMT	https://admin.pixelstrap.net/admiro/assets/css/vendors/slick-theme.css	C:/My%20Web%20Sites/adminEcommerc/admin.pixelstrap.net/admiro/assets/css/vendors/slick-theme.css	(from https://admin.pixelstrap.net/admiro/template/index.html)
16:38:24	0/0	---M--	200	added ('OK')	text/css	date:Fri,%2022%20Dec%202023%2004:20:29%20GMT	https://admin.pixelstrap.net/admiro/assets/css/color-1.css	C:/My%20Web%20Sites/adminEcommerc/admin.pixelstrap.net/admiro/assets/css/color-1.css	(from https://admin.pixelstrap.net/admiro/template/index.html)
16:38:24	1935/1935	---M--	200	added ('OK')	image/png	date:Tue,%2028%20May%202024%2010:36:51%20GMT	https://admin.pixelstrap.net/admiro/assets/images/logo/logo1.png	C:/My%20Web%20Sites/adminEcommerc/admin.pixelstrap.net/admiro/assets/images/logo/logo1.png	(from https://admin.pixelstrap.net/admiro/template/index.html)
16:38:24	1207443/1207443	---M-Z	200	added ('OK')	text/css	date:Thu,%2011%20Jul%202024%2004:29:53%20GMT	https://admin.pixelstrap.net/admiro/assets/css/style.css	C:/My%20Web%20Sites/adminEcommerc/admin.pixelstrap.net/admiro/assets/css/style.css	(from https://admin.pixelstrap.net/admiro/template/index.html)
16:38:25	2356/2356	---M--	200	added ('OK')	image/png	date:Tue,%2028%20May%202024%2007:01:25%20GMT	https://admin.pixelstrap.net/admiro/assets/images/logo/logo-dark.png	C:/My%20Web%20Sites/adminEcommerc/admin.pixelstrap.net/admiro/assets/images/logo/logo-dark.png	(from https://admin.pixelstrap.net/admiro/template/index.html)
16:38:25	39601/39601	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Oct%202023%2004:17:04%20GMT	https://admin.pixelstrap.net/admiro/assets/images/dashboard-2/1.png	C:/My%20Web%20Sites/adminEcommerc/admin.pixelstrap.net/admiro/assets/images/dashboard-2/1.png	(from https://admin.pixelstrap.net/admiro/template/index.html)
16:38:25	13547/13547	---M--	200	added ('OK')	image/png	date:Thu,%2030%20Nov%202023%2005:34:44%20GMT	https://admin.pixelstrap.net/admiro/assets/images/dashboard-2/2.png	C:/My%20Web%20Sites/adminEcommerc/admin.pixelstrap.net/admiro/assets/images/dashboard-2/2.png	(from https://admin.pixelstrap.net/admiro/template/index.html)
16:38:25	59129/59129	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Jun%202024%2005:40:56%20GMT	https://admin.pixelstrap.net/admiro/template/cart.html	C:/My%20Web%20Sites/adminEcommerc/admin.pixelstrap.net/admiro/template/cart.html	(from https://admin.pixelstrap.net/admiro/template/index.html)
16:38:26	60144/60144	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Jun%202024%2005:43:10%20GMT	https://admin.pixelstrap.net/admiro/template/checkout.html	C:/My%20Web%20Sites/adminEcommerc/admin.pixelstrap.net/admiro/template/checkout.html	(from https://admin.pixelstrap.net/admiro/template/index.html)
16:38:26	66244/66244	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Jun%202024%2006:02:59%20GMT	https://admin.pixelstrap.net/admiro/template/to-do.html	C:/My%20Web%20Sites/adminEcommerc/admin.pixelstrap.net/admiro/template/to-do.html	(from https://admin.pixelstrap.net/admiro/template/index.html)
16:38:26	59666/59666	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20May%202024%2011:09:26%20GMT	https://admin.pixelstrap.net/admiro/template/apex_chart.html	C:/My%20Web%20Sites/adminEcommerc/admin.pixelstrap.net/admiro/template/apex_chart.html	(from https://admin.pixelstrap.net/admiro/template/index.html)
16:38:26	2238/2238	---M--	200	added ('OK')	image/png	date:Wed,%2010%20Jan%202024%2000:15:04%20GMT	https://admin.pixelstrap.net/admiro/assets/images/profile.png	C:/My%20Web%20Sites/adminEcommerc/admin.pixelstrap.net/admiro/assets/images/profile.png	(from https://admin.pixelstrap.net/admiro/template/index.html)
16:38:27	72487/72487	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Jun%202024%2006:04:01%20GMT	https://admin.pixelstrap.net/admiro/template/user-profile.html	C:/My%20Web%20Sites/adminEcommerc/admin.pixelstrap.net/admiro/template/user-profile.html	(from https://admin.pixelstrap.net/admiro/template/index.html)
16:38:27	135491/135491	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Jun%202024%2005:52:28%20GMT	https://admin.pixelstrap.net/admiro/template/letter-box.html	C:/My%20Web%20Sites/adminEcommerc/admin.pixelstrap.net/admiro/template/letter-box.html	(from https://admin.pixelstrap.net/admiro/template/index.html)
16:38:27	5869/5869	---M-Z	200	added ('OK')	text/html	date:Tue,%2004%20Jun%202024%2006:32:33%20GMT	https://admin.pixelstrap.net/admiro/template/login.html	C:/My%20Web%20Sites/adminEcommerc/admin.pixelstrap.net/admiro/template/login.html	(from https://admin.pixelstrap.net/admiro/template/index.html)
